Name,Week,Injury,Position
Josh Allen,Week 14,Turf toe,QB 
Lamar Jackson,Week 14,Ankle sprain,QB 
Austin Ekeler,Week 14,High ankle sprain,RB 
Terry McLaurin,Week 14,Concussion,WR 
Kareem Hunt,Week 14,High ankle sprain,RB 
Emmanuel Sanders,Week 14,Knee injury,WR 
Giovani Bernard,Week 14,MCL sprain,RB 
Rex Burkhead,Week 14,Groin strain,RB 
Adam Thielen,Week 13,High ankle sprain,WR 
Kenyan Drake,Week 13,Broken ankle,RB 
Logan Thomas,Week 13,Torn ACL,TE 
Corey Davis,Week 13,Groin,WR 
Aaron Rodgers,Week 12,Broken toe,QB 
Dalvin Cook,Week 12,Dislocated Shoulder,RB 
Deebo Samuel,Week 12,Groin injury,WR 
Randall Cobb,Week 12,Groin injury,WR 
Dan Arnold,Week 12,MCL injury,TE 
Justin Fields,Week 11,Rib injury,QB 
CeeDee Lamb,Week 11,Concussion,WR 
Michael Carter,Week 11,High Ankle Sprain,RB 
Jordan Howard,Week 11,Undisclosed knee injury,RB 
Adam Trautman,Week 11,MCL Sprain,TE 
Jamal Agnew,Week 11,hip injury,WR 
Elgton Jenkins,Week 11,ACL tear,OG 
Aaron Jones,Week 10,MCL sprain,RB 
Chase Young,Week 10,Torn ACL,DE/
Colt McCoy,Week 10,Pec strain,QB 
Dallas Goedert,Week 10,Concussion,TE 
Ty Montgomery,Week 10,Broken finger,WR/
Troy Hill,Week 10,Neck sprain,CB 
Anthony Schwartz,Week 10,Concussion,WR 
Chase Edmonds,Week 9 ,Ankle injury,RB 
Damien Harris,Week 9 ,Ankle injury,RB 
Matt Paradis,Week 9 ,Torn ACL,Acc
Jameis Winston,Week 8 ,torn ACL,QB 
T. Y. Hilton,Week 8 ,concusion,WR 
Jalen Reagor,Week 8 ,eversion ankle sprain,WR 
Jack Conklin,Week 8 ,dislocated elbow,OT 
Zach Wilson,Week 7 ,PCL Strain,QB 
Miles Sanders,Week 7 ,mild-inversion ankle sprain,RB 
Malcolm Brown,Week 7 ,quad injury,RB 
Baker Mayfield,Week 6 ,Torn labrum (non-throwing shoulder),QB 
Kareem Hunt,Week 6 ,Calf strain,RB 
Alex Collins,Week 6 ,Hip and glute injuries,RB 
Kadarius Toney,Week 6 ,Ankle injury,WR 
Parris Campbell,Week 6 ,Foot,WR 
Terrace Marshall Jr.,Week 6 ,Concussion,WR 
Chase Winovich,Week 6 ,Hamstring,LB 
Patrick Queen,Week 6 ,Thigh injury,LB 
Russell Wilson,Week 5 ,Broken finger,QB 
Clyde Edwards-Helaire,Week 5 ,MCL Sprain,RB 
Saquon Barkley,Week 5 ,Ankle injury,RB 
Maxx Williams,Week 5 ,Knee injury,TE 
Juju Smith-Schuster,Week 5 ,Shoulder,WR 
Taysom Hill,Week 5 ,Concussion,QB/
Lavonte David,Week 5 ,High ankle sprain,LB 
Damien Harris,Week 5 ,Ribs,RB 
Myles Jack,Week 5 ,Back,LB 
Quintez Cephus,Week 5 ,Shoulder injury,WR 
Oday Aboushi,Week 5 ,Torn ACL,G O
Teddy Bridgewater,Week 4 ,Concussion,QB 
David Montgomery,Week 4 ,Knee Sprain,RB 
Logan Thomas,Week 4 ,Hamstring,TE 
Will Fuller,Week 4 ,Broken finger,WR 
Robbie Gould,Week 4 ,Groin,K R
Tony Jones Jr.,Week 4 ,Ankle ,RB 
Rob Gronkowski,Week 3 ,Ribs,TE 
A.J. Brown,Week 3 ,Hamstring,WR 
James White,Week 3 ,Hip,RB 
Sterling Shepard,Week 3 ,Hamstring,WR 
Darius Slayton,Week 3 ,Hamstring,WR 
Quenton Nelson,Week 3 ,Ankle Sprain,OG 
Terron Armstead,Week 3 ,Elbow,LT 
Derwin James,Week 3 ,Shoulder,S D
Kwity Paye,Week 3 ,Hamstring,EDG
Andy Dalton,Week 2 ,undisclosed knee injury,QB 
Tua Tagovailoa,Week 2 ,Broken ribs,QB 
Carson Wentz,Week 2 ,sprained ankles,QB 
Tyrod Taylor,Week 2 ,hamstring injury,QB 
Darrell Henderson,Week 2 ,rib cartilage injury,RB 
Jarvis Landry,Week 2 ,MCL strain,WR 
Trey Sermon,Week 2 ,concussion,RB 
Bradley Chubb,Week 2 ,Ankle injury,DE 
Danny Amendola,Week 2 ,hamstring injury,Ada
James O'Shaughnessy,Week 2 ,ankle injury,TE 
Brandon Graham,Week 2 ,Torn Achilles,DE 
Tyson Alualu,Week 2 ,Broken ankle,NT 
DeShon Elliott,Week 2 ,Concussion,S D
Ryan Fitzpatrick,Week 1 ,Hip Subluxation,Ada
Raheem Mostert,Week 1 ,Chipped knee cartilage,RB 
Jerry Jeudy,Week 1 ,High ankle sprain,WR 
Jason Verrett,Week 1 ,Torn ACL,CB 
Tyrell Williams,Week 1 ,Concussion,WR 
Mekhi Becton,Week 1 ,Dislocated knee cap,Lef
Rashaad Penny,Week 1 ,Calf,Ian
Michael Gallup,Week 1 ,Calf,WR 
Sean Murphy-Bunting,Week 1 ,Dislocated Elbow,CB 
